SignalName,ActivityFactor
TOP.VexiiRiscv.PcPlugin_logic_harts_0_output_valid,0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_output_ready,0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_output_payload_pc[31:0],0.01424781
TOP.VexiiRiscv.PcPlugin_logic_harts_0_output_fire,0.01424781
TOP.VexiiRiscv.PcPlugin_logic_holdHalter_doIt,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_0_haltRequest_PcPlugin_l133,0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_forked_valid,0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_forked_ready,0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_forked_fire,0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_translated_payload_address[31:0],0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_logic_fork_persistent_payload_address[31:0],0.01424781
TOP.VexiiRiscv.when_FetchCachelessPlugin_l208,0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_completions_ports_0_valid,0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_reschedules_flushes_4_valid,0.01424781
TOP.VexiiRiscv.fetch_logic_flushes_0_doIt,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_forgetsSingleRequest_FetchPipelinePlugin_l50,0.01424781
TOP.VexiiRiscv.FetchCachelessPlugin_pmaBuilder_addressBits[31:0],0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_perf_candidatesCount[0:0],0.01424781
TOP.VexiiRiscv.WhiteboxerPlugin_logic_perf_dispatchFeedCount[0:0],0.01424781
TOP.VexiiRiscv.when_Utils_l586,0.01424781
TOP.VexiiRiscv.when_Utils_l586_1,0.01424781
TOP.VexiiRiscv.when_Utils_l586_2,0.01424781
TOP.VexiiRiscv.when_Utils_l586_3,0.01424781
TOP.VexiiRiscv.fetch_logic_ctrls_1_up_forgetOne,0.01424781
TOP.VexiiRiscv.when_CtrlLink_l150,0.01424781
TOP.VexiiRiscv.when_StageLink_l67,0.01424781
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_onEntry_RUNNING,0.01424781
TOP.FetchCachelessPlugin_logic_bus_cmd_payload_address[31:0],0.01424781
TOP.VexiiRiscv.execute_ctrl4_up_AguPlugin_SEL_lane0,0.01424156
TOP.VexiiRiscv.execute_ctrl4_down_LANE_SEL_lane0,0.01424156
TOP.VexiiRiscv.execute_ctrl4_down_AguPlugin_SEL_lane0,0.01424156
TOP.VexiiRiscv.execute_ctrl4_up_COMPLETED_lane0,0.01424156
TOP.VexiiRiscv.execute_ctrl2_down_COMPLETED_lane0,0.01424156
TOP.VexiiRiscv.execute_ctrl2_COMPLETED_lane0_bypass,0.01424156
TOP.VexiiRiscv.decode_ctrls_1_up_TRAP_0,0.01424156
TOP.VexiiRiscv.execute_ctrl4_up_LANE_SEL_lane0,0.01424156
TOP.VexiiRiscv.execute_lane0_api_hartsInflight[0:0],0.01424156
TOP.VexiiRiscv.TrapPlugin_api_harts_0_fsmBusy,0.01424156
TOP.VexiiRiscv.execute_lane0_logic_trapPending[0:0],0.01424156
TOP.VexiiRiscv.DispatchPlugin_logic_fenceChecker_olderInflights[0:0],0.01424156
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_crsPorts_write_data[31:0],0.01424156
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_trigger_oh[0:0],0.01424156
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_trigger_valid,0.01424156
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_inflightTrap,0.01424156
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_buffer_sampleIt,0.01424156
TOP.VexiiRiscv.CsrRamPlugin_logic_writeLogic_hits[2:0],0.01424156
TOP.VexiiRiscv.CsrRamPlugin_logic_writeLogic_hit,0.01424156
TOP.VexiiRiscv.CsrRamPlugin_logic_writeLogic_hits_ohFirst_input[2:0],0.01424156
TOP.VexiiRiscv.CsrRamPlugin_logic_writeLogic_hits_ohFirst_masked[2:0],0.01424156
TOP.VexiiRiscv.CsrRamPlugin_logic_writeLogic_oh[2:0],0.01424156
TOP.VexiiRiscv.CsrRamPlugin_logic_writeLogic_port_valid,0.01424156
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_onExit_RUNNING,0.01424156
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_fsm_onEntry_PROCESS_1,0.01424156
TOP.VexiiRiscv.execute_ctrl5_up_LANE_SEL_lane0,0.01423532
TOP.VexiiRiscv.execute_ctrl5_down_LANE_SEL_lane0,0.01423532
TOP.VexiiRiscv.decode_ctrls_0_down_TRAP_0,0.01423532
TOP.VexiiRiscv.fetch_logic_ctrls_1_down_TRAP,0.01423532
TOP.VexiiRiscv.decode_ctrls_0_up_TRAP_0,0.01423532
TOP.VexiiRiscv.TrapPlugin_api_harts_0_rvTrap,0.01423532
TOP.VexiiRiscv.FetchCachelessPlugin_logic_trapPort_valid,0.01423532
TOP.VexiiRiscv.AlignerPlugin_logic_extractors_0_ctx_trap,0.01423532
TOP.VexiiRiscv.FetchCachelessPlugin_logic_buffer_reservedHits_0,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_crsPorts_read_valid,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_crsPorts_read_ready,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_crsPorts_read_address[1:0],0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_crsPorts_write_valid,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_crsPorts_write_ready,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_ports_2_valid,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pending_arbiter_down_payload_arg[1:0],0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_whitebox_trap,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_whitebox_code[3:0],0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pcPort_valid,0.01423532
TOP.VexiiRiscv.TrapPlugin_logic_harts_0_trap_pcPort_payload_pc[31:0],0.01423532
TOP.VexiiRiscv.when_TrapPlugin_l556,0.01423532
TOP.VexiiRiscv.PcPlugin_logic_forcedSpawn,0.01423532
TOP.VexiiRiscv.PcPlugin_logic_harts_0_aggregator_valids_0,0.01423532
TOP.VexiiRiscv.PcPlugin_logic_harts_0_aggregator_oh[2:0],0.01423532
TOP.VexiiRiscv.fetch_logic_ctrls_0_haltRequest_CtrlLink_l79,0.01423532
TOP.VexiiRiscv.FetchCachelessPlugin_logic_join_trapSent,0.01423532
TOP.VexiiRiscv.CsrRamPlugin_logic_readLogic_hits[1:0],0.01423532
TOP.VexiiRiscv.CsrRamPlugin_logic_readLogic_hit,0.01423532
TOP.VexiiRiscv.CsrRamPlugin_logic_readLogic_hits_ohFirst_input[1:0],0.01423532
TOP.VexiiRiscv.CsrRamPlugin_logic_readLogic_hits_ohFirst_masked[1:0],0.01423532
TOP.VexiiRiscv.CsrRamPlugin_logic_readLogic_oh[1:0],0.01423532
TOP.VexiiRiscv.CsrRamPlugin_logic_readLogic_port_cmd_valid,0.01423532
